;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;range_dia_anterior;posicao_range_d1;distancia_mm20;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_c1;tamanho_medio_ordem_c1;pavio_superior_dolar_c1;pavio_inferior_dolar_c1;range_dolar_c1;volume_real_norm_dolar_c1;tamanho_medio_ordem_dolar_c1;correlacao_movel_WIN_WDO_c1;ratio_vol_WIN_WDO_c1;mag_decisao
2025-01-13;0.49999999999999994;0.8660254037844387;0.48530196253108104;-0.8743466161445821;0.0;1.0;0.014573528197506399;0.07365439093484419;-0.027026148900698346;1;0.0024627457528071128;0.0018366239512459825;0.005008974412489043;2.865234619257933;0.001544841043987316;0.0036588340515489063;0.010000813074233677;1.9416334813582061;2.6529428416299674;-0.645379003701409;3.045805345647915;30.0
2025-01-14;0.49999999999999994;0.8660254037844387;0.29936312297335804;-0.9541392564000488;0.7818314824680298;0.6234898018587336;0.009057895395917686;0.6129032258064516;-0.01995068370320556;-1;0.002328869666472594;0.0004574565416285453;0.0048240871662646595;2.87524501616634;0.0;0.002044655271121289;0.004171096753087429;1.906941108400899;2.6390028821744194;-0.7952461828060507;3.299544336756835;115.0
2025-01-15;0.49999999999999994;0.8660254037844387;0.10116832198743272;-0.994869323391895;0.9749279121818236;-0.22252093395631434;0.012101804873991517;0.8350515463917526;-0.01572128880195759;1;8.314625426124553e-05;0.0;0.008480917934647045;3.2170069372353223;0.000989282769991756;0.0021434460016488046;0.004781533388293487;1.639576744187671;2.518349460404643;-0.20146488779514843;4.158166688320401;635.0
2025-01-16;0.49999999999999994;0.8660254037844387;-0.10116832198743204;-0.9948693233918952;0.43388373911755823;-0.900968867902419;0.0306809678223996;0.7804878048780488;0.00899203211732656;-1;0.002192448233861145;0.001664636622005684;0.004060089321965083;3.0179780479197125;0.00024834437086092715;0.004801324503311258;0.005629139072847682;2.342842907471548;2.7988763368581577;-0.829521437426129;2.918192011332907;395.0
2025-01-17;0.49999999999999994;0.8660254037844387;-0.2993631229733582;-0.9541392564000488;-0.433883739117558;-0.9009688679024191;0.014819326025172554;0.5315068493150685;0.005449105112150664;-1;0.0006935095663525477;0.0024068861420470772;0.003549137192510097;3.0335375321119047;0.0005764163372859025;0.00461133069828722;0.005599472990777339;1.7609124540685364;2.841972481926689;-0.6837156900479215;3.406803652286782;570.0
2025-01-20;0.49999999999999994;0.8660254037844387;-0.7907757369376986;-0.6121059825476627;0.0;1.0;0.014237343450414067;0.6303724928366762;0.00852127035443069;-1;0.0026442112114555367;0.0012610853470018714;0.0050443413880074854;3.1114158498552964;0.0008223684210526315;0.001973684210526316;0.005263157894736842;1.5640946441825834;2.4994650048660363;-0.39322371906774983;3.933984141393716;100.0
2025-01-21;0.49999999999999994;0.8660254037844387;-0.8978045395707417;-0.44039415155763423;0.7818314824680298;0.6234898018587336;0.014766902611667073;0.6584022038567493;0.013404374534356535;1;0.0004050550874918989;0.004577122488658458;0.005103694102397926;3.0744666013783317;0.00247320692497939;0.00032976092333058534;0.004286892003297609;2.0803078642571315;2.6985133040669838;-0.607563435644239;3.253664320047232;20.0
2025-01-22;0.49999999999999994;0.8660254037844387;-0.9680771188662041;-0.2506525322587213;0.9749279121818236;-0.22252093395631434;0.011625081011017498;0.9442508710801394;0.01952802819848913;1;0.0004427271995492232;0.0009659502535619416;0.0049504950495049506;2.9184715218649253;0.0011622115224970944;0.0009131661962477171;0.003984725219990038;2.194373727001413;2.817588033601175;-0.8869611893994743;2.8315328876947614;605.0
2025-01-23;0.49999999999999994;0.8660254037844387;-0.9987165071710528;-0.05064916883871355;0.43388373911755823;-0.900968867902419;0.009337519117765435;0.16379310344827586;0.015678199017138544;1;0.00016155088852988692;0.0030694668820678513;0.004402261712439418;3.028448496999665;0.0017641129032258064;0.0006720430107526882;0.005376344086021506;1.8181013230004333;2.656224074395632;-0.49739394608605103;3.494402568372196;445.0
2025-01-24;0.49999999999999994;0.8660254037844387;-0.9884683243281114;0.15142777750457667;-0.433883739117558;-0.9009688679024191;0.015347334410339256;0.2736842105263158;0.012330987504872895;-1;0.0016619375760032428;0.0019051479529793272;0.005026347790839076;3.013678292979296;0.0016069012178619756;0.002452638700947226;0.004820703653585927;1.6665484997236175;2.6544489241130513;0.5791151730875356;3.6810498331963357;260.0
