time;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2024-01-16 12:20:00;130790.0;130800.0;130980.0;130750.0;371403;92046
2024-01-16 12:30:00;130800.0;130615.0;130845.0;130510.0;485060;117156
2024-01-16 12:40:00;130620.0;130835.0;130845.0;130580.0;334471;82869
2024-01-16 12:50:00;130835.0;130815.0;130920.0;130770.0;226326;58476
2024-01-17 10:00:00;129665.0;129740.0;129805.0;129595.0;314404;92014
2024-01-17 10:10:00;129745.0;130060.0;130070.0;129720.0;493732;134136
2024-01-17 10:20:00;130055.0;129915.0;130165.0;129800.0;432983;127425
2024-01-17 10:30:00;129920.0;129920.0;130025.0;129665.0;514440;153003
2024-01-17 10:40:00;129920.0;129795.0;129965.0;129575.0;542245;144194
2024-01-17 10:50:00;129795.0;129660.0;129930.0;129475.0;454318;130219
2024-01-17 11:00:00;129660.0;129605.0;129745.0;129525.0;358826;96555
2024-01-17 11:10:00;129605.0;129795.0;129865.0;129565.0;373701;97950
2024-01-17 11:20:00;129795.0;129705.0;129800.0;129675.0;215582;58372
2024-01-17 11:30:00;129710.0;129870.0;129945.0;129655.0;550854;144760
2024-01-17 11:40:00;129875.0;129920.0;129935.0;129615.0;370389;100415
2024-01-17 11:50:00;129925.0;129800.0;129945.0;129695.0;287288;76940
2024-01-17 12:00:00;129800.0;129905.0;129975.0;129635.0;435146;113827
2024-01-17 12:10:00;129905.0;129695.0;130010.0;129675.0;313102;86489
2024-01-17 12:20:00;129690.0;129870.0;129895.0;129650.0;228106;65739
2024-01-17 12:30:00;129870.0;129845.0;129945.0;129670.0;323886;85775
2024-01-17 12:40:00;129845.0;129575.0;129885.0;129560.0;292305;77497
2024-01-17 12:50:00;129575.0;129475.0;129670.0;129425.0;274178;75299
2024-01-18 10:00:00;130115.0;129700.0;130125.0;129650.0;550753;147447
2024-01-18 10:10:00;129700.0;129535.0;129770.0;129505.0;428862;110593
2024-01-18 10:20:00;129530.0;129490.0;129645.0;129410.0;413268;104818
2024-01-18 10:30:00;129480.0;129305.0;129575.0;129190.0;570547;150987
2024-01-18 10:40:00;129310.0;129230.0;129405.0;129090.0;478055;117157
2024-01-18 10:50:00;129225.0;129100.0;129240.0;129025.0;316296;75431
2024-01-18 11:00:00;129100.0;129240.0;129270.0;129095.0;298479;75209
2024-01-18 11:10:00;129240.0;129165.0;129355.0;129145.0;342699;86711
2024-01-18 11:20:00;129160.0;128895.0;129165.0;128835.0;621347;149781
2024-01-18 11:30:00;128895.0;128765.0;129075.0;128715.0;541522;138202
2024-01-18 11:40:00;128770.0;128725.0;128830.0;128575.0;487284;119554
2024-01-18 11:50:00;128725.0;128870.0;128900.0;128660.0;427836;101812
2024-01-18 12:00:00;128865.0;128725.0;128870.0;128655.0;438760;105236
2024-01-18 12:10:00;128725.0;128770.0;128840.0;128670.0;281003;70971
2024-01-18 12:20:00;128775.0;128590.0;128800.0;128495.0;399319;96898
2024-01-18 12:30:00;128590.0;128725.0;128770.0;128540.0;281046;72492
2024-01-18 12:40:00;128730.0;128590.0;128760.0;128535.0;260236;63480
2024-01-18 12:50:00;128585.0;128425.0;128620.0;128355.0;333453;80898
2024-01-19 10:00:00;128535.0;128360.0;128550.0;128270.0;540903;137182
2024-01-19 10:10:00;128365.0;128530.0;128585.0;128285.0;490550;133522
2024-01-19 10:20:00;128530.0;128120.0;128535.0;128080.0;613714;165785
2024-01-19 10:30:00;128125.0;128355.0;128395.0;128115.0;438922;118371
2024-01-19 10:40:00;128355.0;128410.0;128415.0;128175.0;411201;107025
2024-01-19 10:50:00;128410.0;128295.0;128415.0;128225.0;281060;75832
2024-01-19 11:00:00;128295.0;127965.0;128305.0;127930.0;653287;166321
2024-01-19 11:10:00;127965.0;127755.0;127990.0;127700.0;459037;119460
2024-01-19 11:20:00;127750.0;127515.0;127770.0;127465.0;475455;112798
2024-01-19 11:30:00;127515.0;127555.0;127690.0;127435.0;464757;111532
2024-01-19 11:40:00;127555.0;127625.0;127650.0;127465.0;267166;71915
2024-01-19 11:50:00;127630.0;127680.0;127715.0;127605.0;199574;53813
2024-01-19 12:00:00;127685.0;127505.0;127760.0;127355.0;557682;139710
2024-01-19 12:10:00;127505.0;127715.0;127750.0;127465.0;317871;84052
2024-01-19 12:20:00;127715.0;127650.0;127770.0;127560.0;247756;67192
2024-01-19 12:30:00;127650.0;127660.0;127715.0;127520.0;231310;59959
2024-01-19 12:40:00;127660.0;127595.0;127800.0;127590.0;263446;69069
2024-01-19 12:50:00;127595.0;127615.0;127675.0;127555.0;162154;40194
2024-01-22 10:00:00;128430.0;128105.0;128520.0;128070.0;600898;153028
2024-01-22 10:10:00;128110.0;128130.0;128180.0;127875.0;591776;154297
2024-01-22 10:20:00;128130.0;128555.0;128565.0;128060.0;583553;151388
2024-01-22 10:30:00;128555.0;128355.0;128615.0;128290.0;461663;125628
2024-01-22 10:40:00;128360.0;128415.0;128460.0;128320.0;225760;62374
2024-01-22 10:50:00;128415.0;128420.0;128435.0;128215.0;371028;98528
2024-01-22 11:00:00;128415.0;128360.0;128495.0;128320.0;304582;80901
2024-01-22 11:10:00;128360.0;128050.0;128475.0;128035.0;443373;117357
2024-01-22 11:20:00;128055.0;127950.0;128155.0;127835.0;496482;123082
2024-01-22 11:30:00;127955.0;128115.0;128120.0;127680.0;642678;163548
2024-01-22 11:40:00;128110.0;128295.0;128340.0;128105.0;448676;117473
2024-01-22 11:50:00;128290.0;128510.0;128540.0;128220.0;397721;100906
2024-01-22 12:00:00;128510.0;128405.0;128610.0;128315.0;395494;103997
2024-01-22 12:10:00;128400.0;128360.0;128645.0;128320.0;390460;100436
2024-01-22 12:20:00;128365.0;128315.0;128450.0;128295.0;277067;70673
2024-01-22 12:30:00;128320.0;128170.0;128330.0;128035.0;348665;91741
2024-01-22 12:40:00;128165.0;127945.0;128180.0;127910.0;318783;82185
2024-01-22 12:50:00;127945.0;127985.0;128100.0;127855.0;307598;77107
2024-01-23 10:00:00;128160.0;127785.0;128175.0;127770.0;544428;147551
2024-01-23 10:10:00;127785.0;127710.0;127920.0;127700.0;435976;113125
2024-01-23 10:20:00;127710.0;127805.0;127825.0;127660.0;369978;97975
2024-01-23 10:30:00;127800.0;128035.0;128145.0;127785.0;607965;161737
2024-01-23 10:40:00;128030.0;128150.0;128240.0;127990.0;507186;129507
2024-01-23 10:50:00;128145.0;128275.0;128300.0;128135.0;299016;75336
2024-01-23 11:00:00;128275.0;127895.0;128280.0;127880.0;492633;129240
2024-01-23 11:10:00;127895.0;128025.0;128065.0;127895.0;304550;79181
2024-01-23 11:20:00;128020.0;128325.0;128370.0;127975.0;461150;117493
2024-01-23 11:30:00;128330.0;127915.0;128370.0;127865.0;759271;189809
2024-01-23 11:40:00;127910.0;128000.0;128115.0;127775.0;519730;139595
2024-01-23 11:50:00;127995.0;128055.0;128160.0;127800.0;449812;121235
2024-01-23 12:00:00;128050.0;128365.0;128380.0;127995.0;391392;101726
2024-01-23 12:10:00;128365.0;128505.0;128510.0;128295.0;343304;90847
2024-01-23 12:20:00;128500.0;128510.0;128570.0;128345.0;378541;96823
2024-01-23 12:30:00;128515.0;128225.0;128530.0;128175.0;300228;80672
2024-01-23 12:40:00;128225.0;128055.0;128235.0;127930.0;373584;96842
2024-01-23 12:50:00;128050.0;127975.0;128075.0;127750.0;362672;96090
2024-01-24 10:00:00;130045.0;129850.0;130045.0;129790.0;405578;106597
2024-01-24 10:10:00;129855.0;129975.0;130020.0;129780.0;403415;101411
2024-01-24 10:20:00;129975.0;129875.0;130035.0;129850.0;259106;69483
2024-01-24 10:30:00;129875.0;129705.0;129905.0;129585.0;540899;140271
2024-01-24 10:40:00;129705.0;129785.0;129810.0;129640.0;327902;83803
2024-01-24 10:50:00;129790.0;129975.0;130025.0;129755.0;410706;107176
2024-01-24 11:00:00;129975.0;130025.0;130115.0;129910.0;336798;89395
2024-01-24 11:10:00;130020.0;129950.0;130030.0;129855.0;312812;82652
2024-01-24 11:20:00;129945.0;129820.0;129985.0;129770.0;309178;79546
2024-01-24 11:30:00;129820.0;129525.0;129850.0;129505.0;527830;134028
2024-01-24 11:40:00;129525.0;129420.0;129600.0;129345.0;529571;128553
2024-01-24 11:50:00;129415.0;129235.0;129565.0;129225.0;566863;138410
2024-01-24 12:00:00;129230.0;129115.0;129315.0;129010.0;565427;135236
2024-01-24 12:10:00;129115.0;129110.0;129170.0;129010.0;329121;81247
2024-01-24 12:20:00;129110.0;129055.0;129165.0;129035.0;221189;54573
2024-01-24 12:30:00;129050.0;129040.0;129085.0;128935.0;337142;78800
2024-01-24 12:40:00;129045.0;129085.0;129305.0;129010.0;424311;110486
2024-01-24 12:50:00;129085.0;129105.0;129130.0;128975.0;258481;69197
2024-01-25 10:00:00;128790.0;128605.0;128820.0;128555.0;347073;91349
2024-01-25 10:10:00;128610.0;128845.0;128885.0;128440.0;546486;142936
