<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.08	10:57:00	159440	159455	159305	159355	14164	50280	5
2025.12.08	10:58:00	159355	159480	159335	159465	14123	49357	5
2025.12.08	10:59:00	159465	159505	159435	159505	8882	32739	5
2025.12.08	11:00:00	159500	159510	159410	159485	11742	41049	5
2025.12.08	11:01:00	159485	159520	159440	159500	8338	32047	5
2025.12.08	11:02:00	159500	159555	159470	159510	10331	33369	5
2025.12.08	11:03:00	159510	159510	159370	159395	14303	46604	5
2025.12.08	11:04:00	159395	159430	159345	159415	10518	41932	5
2025.12.08	11:05:00	159410	159535	159360	159505	14590	51857	5
2025.12.08	11:06:00	159505	159580	159460	159510	17088	60043	5
2025.12.08	11:07:00	159505	159560	159445	159555	10820	39395	5
2025.12.08	11:08:00	159550	159730	159530	159680	29687	98801	5
2025.12.08	11:09:00	159680	159680	159520	159545	16886	58104	5
2025.12.08	11:10:00	159545	159560	159470	159510	11121	40156	5
2025.12.08	11:11:00	159510	159540	159485	159520	5611	19760	5
2025.12.08	11:12:00	159515	159605	159505	159560	12179	41273	5
2025.12.08	11:13:00	159560	159560	159455	159475	12019	41721	5
2025.12.08	11:14:00	159475	159590	159475	159545	8093	27380	5
2025.12.08	11:15:00	159550	159660	159515	159645	13691	47712	5
2025.12.08	11:16:00	159645	159675	159600	159640	10236	37529	5
2025.12.08	11:17:00	159635	159670	159560	159620	10289	46113	5
2025.12.08	11:18:00	159620	159660	159560	159565	7981	26785	5
2025.12.08	11:19:00	159565	159580	159490	159535	14069	47953	5
2025.12.08	11:20:00	159535	159710	159520	159690	17237	59378	5
2025.12.08	11:21:00	159695	159695	159520	159565	14026	48110	5
2025.12.08	11:22:00	159560	159620	159535	159575	9431	34024	5
2025.12.08	11:23:00	159575	159675	159570	159620	10632	38446	5
2025.12.08	11:24:00	159615	159650	159535	159535	7357	25569	5
2025.12.08	11:25:00	159540	159585	159470	159535	13667	45514	5
2025.12.08	11:26:00	159530	159540	159425	159440	12189	40289	5
2025.12.08	11:27:00	159435	159460	159385	159395	13652	47146	5
2025.12.08	11:28:00	159400	159420	159340	159370	12315	43369	5
2025.12.08	11:29:00	159370	159385	159290	159315	11783	40432	5
2025.12.08	11:30:00	159315	159410	159260	159365	24495	84322	5
2025.12.08	11:31:00	159370	159375	159280	159290	14090	49293	5
2025.12.08	11:32:00	159295	159365	159240	159275	13886	46792	5
2025.12.08	11:33:00	159275	159325	159155	159175	20923	71585	5
2025.12.08	11:34:00	159175	159245	159135	159165	16694	58753	5
2025.12.08	11:35:00	159160	159210	159075	159130	18605	62368	5
2025.12.08	11:36:00	159135	159150	158995	159010	18590	67587	5
2025.12.08	11:37:00	159005	159090	158975	159025	17163	58325	5
2025.12.08	11:38:00	159025	159115	158965	159055	16552	56251	5
2025.12.08	11:39:00	159060	159100	158965	159030	14196	50415	5
2025.12.08	11:40:00	159030	159075	158970	159025	11524	38187	5
2025.12.08	11:41:00	159030	159065	158905	158940	17938	61320	5
2025.12.08	11:42:00	158935	158995	158855	158970	22141	75803	5
2025.12.08	11:43:00	158975	159005	158915	158980	10828	39732	5
2025.12.08	11:44:00	158980	159015	158880	158915	14002	46840	5
2025.12.08	11:45:00	158920	158940	158825	158905	17547	58776	5
2025.12.08	11:46:00	158910	158990	158855	158990	12808	43791	5
2025.12.08	11:47:00	158985	159030	158855	158900	19427	66246	5
2025.12.08	11:48:00	158900	158975	158875	158925	11265	38772	5
2025.12.08	11:49:00	158925	158940	158765	158790	22737	74848	5
2025.12.08	11:50:00	158790	158855	158780	158790	13027	42324	5
2025.12.08	11:51:00	158790	158805	158660	158675	22859	75543	5
2025.12.08	11:52:00	158680	158700	158520	158535	24189	90684	5
2025.12.08	11:53:00	158535	158720	158525	158705	19656	68367	5
