;gap;range_dia_anterior;atr_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_candle_c1;volume_real_norm_c1;tamanho_medio_ordem_c1;diferenca_MA_c1;mov_direcional_c2;pavio_superior_c2;pavio_inferior_c2;range_candle_c2;volume_real_norm_c2;tamanho_medio_ordem_c2;diferenca_MA_c2;mov_direcional_c3;pavio_superior_c3;pavio_inferior_c3;range_candle_c3;volume_real_norm_c3;tamanho_medio_ordem_c3;diferenca_MA_c3;mov_direcional_c4;pavio_superior_c4;pavio_inferior_c4;range_candle_c4;volume_real_norm_c4;tamanho_medio_ordem_c4;diferenca_MA_c4;label_Compra;label_Lateral;label_Venda
2025-05-26;0.0026651300151264135;0.023783347991791264;2311.0714285714284;0.9984591679506933;0.006198384444404286;0.49999999999999994;-0.8660254037844387;-0.848644257494751;0.5289640103269624;0.0;1.0;-1.0;0.0021192528735632186;0.00021551724137931034;0.003663793103448276;1.2909327837932254;2.652761635800793;0.0012748424430616767;-1.0;0.00043159257660768235;0.0014386419220256078;0.0026255215076967345;1.2643034591614732;2.882014576981707;0.0008678368466728721;1.0;0.0011517834647086348;0.0004679120325378829;0.003743296260303063;1.9255774902913971;2.8749869493330396;0.0011732873596244087;1.0;0.0034121111989081246;0.0014007614395517563;0.006824222397816249;1.9560369182138473;3.090591053201745;0.0016528464804327337;False;False;True
2025-05-27;0.004303543250609668;0.008979885057471264;2324.6428571428573;1.044;0.011338007695905207;0.49999999999999994;-0.8660254037844387;-0.72479278722912;0.6889669190756865;0.7818314824680298;0.6234898018587336;1.0;0.00035709184402228254;0.0;0.008927296100557064;1.8579605977969853;2.6235654802116324;0.003347810351067703;-1.0;0.0028323597096831295;0.0005310674455655868;0.004248539564524694;1.7800812563218578;2.8434332527729023;0.006079218836128852;-1.0;0.001382047556610794;0.00134661043977462;0.0036500230341259435;1.9567667965814197;2.760031691473259;0.008374813290927265;-1.0;0.0015252012911006279;0.000461107367076934;0.003972617316355124;1.6376539854098338;3.025173956453778;0.0059707857980594945;True;False;False
2025-05-28;-0.0009579223728091961;0.01146264819311527;2351.785714285714;0.48286604361370716;0.015595132472066535;0.49999999999999994;-0.8660254037844387;-0.5712682150947924;0.8207634412072763;0.9749279121818236;-0.22252093395631434;1.0;0.0009233282431904542;0.002450371106928513;0.004474590716999893;1.688190576935389;2.5817721801102707;0.0005202790587679534;-1.0;0.00021284143313231643;3.5473572188719404e-05;0.0031216743526073076;1.4231732599649394;2.736165343948883;-5.138725833163035e-05;-1.0;0.0007470916788217297;0.0023835782133836136;0.0068305524920843855;2.315534386983349;3.0063580124145584;-0.001444186553988352;1.0;0.001999714326524782;0.0007141836880445651;0.003285244965004999;1.7318612168975838;2.988576211187794;-0.0029978586723768737;False;True;False
2025-05-29;0.0022454289482125673;0.0107603252956426;2157.8571428571427;0.6831683168316832;0.013141657884544366;0.49999999999999994;-0.8660254037844387;-0.3943558551133187;0.9189578116202306;0.43388373911755823;-0.900968867902419;-1.0;0.0;0.00024893314366998575;0.007076813655761024;1.9545229122849737;2.643597448338711;0.00012731149941120747;1.0;0.0003580635920939559;0.0019335433973073617;0.0025422515038670867;1.801055281651271;2.886329872601514;-0.0010699441163018943;1.0;0.003150170037587256;0.0011097189905136925;0.004331483801682477;2.5918633135277007;2.8151827828005715;-0.002302800348403093;-1.0;0.0002147612570692247;0.0009664256568115112;0.004688954112678073;2.6087907653424236;3.0889044932952636;-0.0026301085568327877;True;False;False
2025-05-30;-3.581533612692955e-05;0.012553342816500711;2200.714285714286;0.43342776203966005;0.004920221859894253;0.49999999999999994;-0.8660254037844387;-0.20129852008866114;0.9795299412524943;-0.433883739117558;-0.9009688679024191;1.0;0.0008954154727793697;0.0036174785100286534;0.0058022922636103156;2.0881916493724124;2.519063683556039;-0.0001550054848093931;1.0;0.001645442838746602;0.002003147803691515;0.0038989841178995563;1.6808680173059702;2.6214709927320863;0.00013907266348007783;-1.0;0.0;0.0009298000929800093;0.0067946929871616065;2.389863145842725;2.9261552276191263;-0.0005915480572842116;-1.0;0.00010791755099104285;0.0007554228569372999;0.006439080542465557;2.042995054731557;2.9910295766621937;-0.0031471567066994645;False;False;True
2025-06-02;0.000652079408781336;0.01797994269340974;2219.285714285714;0.2290836653386454;-0.0059720130488215215;1.2246467991473532e-16;-1.0;0.40673664307580015;0.9135454576426009;0.0;1.0;1.0;0.0003982332923032365;0.0010860907971906452;0.0060097024111215695;1.5723507912127666;2.493082945631003;-6.80754275737051e-05;1.0;0.0002522704339051463;0.0006126567680553554;0.004829176877612801;1.5543663804423713;2.943632819081085;0.0024369620535891878;-1.0;0.0020101945581161604;0.0007897192906884916;0.007466436930145739;2.496974759949076;3.2122438500493877;0.0038068218247099034;-1.0;0.0005409499080385157;0.001875293014533521;0.00613076562443651;2.2624244439486714;3.3167126343496856;0.002417207622448968;False;False;True
2025-06-03;0.0006548550223742132;0.01687061038302802;2168.9285714285716;0.1223175965665236;-0.0109423825842434;1.2246467991473532e-16;-1.0;0.5877852522924731;0.8090169943749475;0.7818314824680298;0.6234898018587336;-1.0;3.6357025995273585e-05;0.00047264133793855663;0.0016360661697873114;0.22571520473586149;2.208892710970968;-0.0003558920352981368;-1.0;0.00036443148688046647;0.0013119533527696794;0.0022230320699708453;0.2078193807844571;2.302199308945319;-0.001203281677301732;1.0;0.00025525087514585763;0.0008022170361726954;0.004266336056009335;1.7753203804159416;2.653613883261417;-0.0008198442699751454;-1.0;0.00021808665309683048;0.0011994765920325676;0.005015993021227101;2.3480191023042467;2.9593258257603106;-0.0011632761423006454;True;False;False
2025-06-04;0.0011553180735071125;0.01257953099436466;2213.5714285714284;1.0433526011560694;-0.0038634865496424793;1.2246467991473532e-16;-1.0;0.7431448254773941;0.6691306063588582;0.9749279121818236;-0.22252093395631434;1.0;0.0022358456545257845;0.0;0.005265055896141363;2.059637698947131;2.447190904952497;0.001757707948834673;-1.0;0.002085205824195578;0.0008987956138774043;0.0030559050871831746;1.4750496342359125;2.57229737053793;0.002780474358513335;-1.0;0.002480854276777047;0.0013303131629094308;0.003990939488728293;2.14008179095179;2.7055076120648307;0.0034282700421942322;-1.0;0.0020138089758342925;0.0015103567318757191;0.0035960874568469504;2.021525196867354;2.894912462391415;0.002701255524387269;False;True;False
2025-06-05;0.0014149403185429743;0.015218175261449694;2250.0;0.27014218009478674;-0.009324594965149416;1.2246467991473532e-16;-1.0;0.8660254037844386;0.5000000000000001;0.43388373911755823;-0.900968867902419;-1.0;0.0010144192449822477;0.0007245851749873198;0.0023911310774581552;1.4233062436318076;2.52668115177981;0.0009949407063675972;1.0;0.001993909512761021;0.0004712877030162413;0.0028639791183294665;1.5327923979831442;2.670562967246293;0.0011515773791549561;-1.0;0.0007610074288820439;0.001775684000724769;0.0032976988584888568;2.6447233023338215;2.85420751051151;0.0010396267014819317;-1.0;0.0019946326249365345;0.0019583665772104158;0.004750852252121564;2.5626928402694498;2.9313654146822965;0.0005081300813008131;False;False;True
2025-06-06;0.0033957717165078324;0.012173030939786972;2230.3571428571427;0.49404761904761907;-0.01319864763686572;1.2246467991473532e-16;-1.0;0.9510565162951535;0.30901699437494745;-0.433883739117558;-0.9009688679024191;-1.0;3.63901018922853e-05;0.001601164483260553;0.0034570596797671035;1.2157960785167092;2.408517730651988;0.0002187386073641998;-1.0;0.0018228217280349982;0.0013853445133065986;0.0045205978855267955;1.8543940801621424;2.6259837349977677;0.0007584791479076079;1.0;0.0024822953931517852;0.0010221216324742643;0.0044170256260495;2.066955937128341;2.9445491637550893;0.0008590960850343266;1.0;0.0017140773158278628;0.00025528811086797956;0.0034281546316557257;1.8180375045283033;3.010778004626419;0.0009306465970705099;False;False;True
2025-06-09;-0.0001827485380116959;0.010080058224163028;2197.5;0.45126353790613716;-0.017186217253762123;1.2246467991473532e-16;-1.0;0.9510565162951536;-0.30901699437494734;0.0;1.0;-1.0;0.003107292999451654;0.0003655638822884299;0.011880826174373972;2.039142348670454;2.555477077305196;-0.00047107014848940797;1.0;0.00018432500184325002;0.0020644400206444;0.0029492000294920003;1.3099628733207356;2.7482433142750264;-0.002750660035611295;-1.0;0.0038681156750782833;0.0018051206483698655;0.006446859458463805;2.2218632948938755;2.8550487133883804;-0.00496485277491036;-1.0;0.0018802536499041439;0.00033180946763014307;0.009991151747529863;2.301980464040673;3.0314505035826933;-0.006176279947319845;True;False;False
2025-06-10;0.0035952747817154596;0.01959422409065984;2293.214285714286;0.8432835820895522;-0.016326831487178197;1.2246467991473532e-16;-1.0;0.8660254037844387;-0.4999999999999998;0.7818314824680298;0.6234898018587336;1.0;0.001133206609153385;0.0014256470244187747;0.007530340693083784;2.354577676956783;2.56839666542573;0.0020894967424866795;-1.0;0.0022189080062565932;0.0;0.0029100432868938925;1.6635456542637053;2.776320309893798;0.0037209603313271325;-1.0;0.0012739780875768937;0.0016379718268845775;0.007571069777599825;2.584866419231803;2.833724490197467;0.004429003880457362;1.0;0.0006948253794112269;0.0008045346498445785;0.00563174254891205;1.9308803555119178;2.9127085548268927;0.003261546928237898;False;True;False
2025-06-11;-0.00018242183224488306;0.010125749378564117;2212.5;0.37545126353790614;-0.013366216325685637;1.2246467991473532e-16;-1.0;0.7431448254773945;-0.6691306063588579;0.9749279121818236;-0.22252093395631434;-1.0;0.0007298204641658152;0.002116479346080864;0.008246971245073712;2.305507231191854;2.4043775929433227;-0.0008030851514856698;1.0;0.0044027003228646906;0.004182565306721456;0.009062224831229822;2.0859056275857277;2.3846577729089056;-0.001837658554076512;-1.0;0.0019435989585243317;0.0018335839231361619;0.0050240199493930835;2.0759369391799254;2.769806868122061;-0.003451441160271709;1.0;0.00029373967321461356;0.0020561777125022948;0.007784101340187259;1.9159500982017885;2.8889410815945196;-0.0019517381019042398;False;True;False
2025-06-12;-0.003568307602679872;0.01634797839731426;2017.142857142857;0.5;-0.013759649413647207;1.2246467991473532e-16;-1.0;0.5877852522924732;-0.8090169943749473;0.43388373911755823;-0.900968867902419;-1.0;0.0009866257399693049;0.002155959950303296;0.006906380179785135;2.0053841714892293;2.467406360448969;-0.0024819963564783262;1.0;0.002310824193962513;0.0015772292117521916;0.004658328137035542;1.49656927903705;2.6064225020537783;-0.003722165208750777;1.0;0.00025657002529047394;0.0005131400505809479;0.003188798885753033;2.0487708195973036;2.8296941819233288;-0.004550237465517708;1.0;0.0009872029250457038;0.0008775137111517368;0.004570383912248629;2.1203156530646825;2.937869279810573;-0.002244587060806454;True;False;False
2025-06-13;-0.005717387371087389;0.016261053862457065;1944.2857142857142;0.6134831460674157;-0.008723321355902853;1.2246467991473532e-16;-1.0;0.40673664307580004;-0.913545457642601;-0.433883739117558;-0.9009688679024191;1.0;0.0012373985515158133;0.002001674127452051;0.0038941660297703534;1.89470197721807;2.499021816344594;0.00019801580085265677;-1.0;0.0008001454809965448;0.0007274049827241316;0.002254955446444808;1.0499615712855235;2.543102131500382;-0.001197047821251596;1.0;0.0011283395210016742;0.0017107083060347965;0.003712601004586154;2.213338820386395;2.7427546623449772;-0.002650697828529108;-1.0;0.00323671673273448;0.00014547041495435866;0.004473215259846529;2.1247565164046978;2.814826710688043;-0.002613236894374165;False;False;True
