<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.17	13:30:00	116330	116400	116165	116235	182857	615081	5
2022.10.17	14:00:00	116230	116280	115980	116240	219053	770345	5
2022.10.17	14:30:00	116235	116295	116010	116055	169583	589050	5
2022.10.17	15:00:00	116055	116195	115930	116120	202519	712120	5
2022.10.17	15:30:00	116120	116295	116030	116245	161884	608674	5
2022.10.17	16:00:00	116245	116390	115990	116045	192477	733661	5
2022.10.17	16:30:00	116045	116090	115705	115810	186341	709456	5
2022.10.17	17:00:00	115810	115915	115670	115875	108634	379424	5
2022.10.17	17:30:00	115870	116130	115765	115910	75564	247376	5
2022.10.18	09:00:00	116945	117105	116500	117080	305753	869857	5
2022.10.18	09:30:00	117080	117400	117005	117395	270313	851623	5
2022.10.18	10:00:00	117395	117585	117170	117520	421412	1413215	5
2022.10.18	10:30:00	117515	117725	117320	117455	529521	1779962	5
2022.10.18	11:00:00	117455	117680	116950	116970	377954	1304246	5
2022.10.18	11:30:00	116965	117070	116660	116930	354817	1234220	5
2022.10.18	12:00:00	116930	117015	116205	116375	373792	1266265	5
2022.10.18	12:30:00	116380	116700	116265	116480	238302	817424	5
2022.10.18	13:00:00	116475	116850	116385	116550	249734	852703	5
2022.10.18	13:30:00	116550	116940	116495	116750	213203	737832	5
2022.10.18	14:00:00	116745	117100	116625	117080	249867	912772	5
2022.10.18	14:30:00	117080	117250	116940	117030	207516	747787	5
2022.10.18	15:00:00	117025	117200	116940	117120	210627	742567	5
2022.10.18	15:30:00	117125	117195	116575	117090	298050	1074989	5
2022.10.18	16:00:00	117090	117375	116880	117275	294908	1093911	5
2022.10.18	16:30:00	117280	117825	117210	117800	259687	961236	5
2022.10.18	17:00:00	117805	117975	117740	117895	145113	515618	5
2022.10.18	17:30:00	117895	118260	117890	118150	97067	295982	5
2022.10.19	09:00:00	117500	117560	117140	117440	281367	775982	5
2022.10.19	09:30:00	117440	117855	117280	117825	340046	1068064	5
2022.10.19	10:00:00	117825	117970	117405	117460	450024	1437153	5
2022.10.19	10:30:00	117460	118170	117285	117635	675854	2324953	5
2022.10.19	11:00:00	117635	118360	117520	118200	413475	1498432	5
2022.10.19	11:30:00	118200	118285	117690	117835	320707	1067174	5
2022.10.19	12:00:00	117835	118035	117615	117730	284090	946772	5
2022.10.19	12:30:00	117735	118140	117615	117935	243846	847278	5
2022.10.19	13:00:00	117940	118170	117740	117795	232998	853793	5
2022.10.19	13:30:00	117795	118025	117650	117840	222184	828540	5
2022.10.19	14:00:00	117840	117985	117625	117870	226309	846540	5
2022.10.19	14:30:00	117870	117990	117690	117855	187378	672695	5
2022.10.19	15:00:00	117855	118110	117780	117990	217201	828793	5
2022.10.19	15:30:00	117990	118045	117755	117865	165581	630556	5
2022.10.19	16:00:00	117865	118520	117785	118150	258798	1009569	5
2022.10.19	16:30:00	118155	118565	118080	118470	231585	860916	5
2022.10.19	17:00:00	118470	118530	118085	118130	159244	525797	5
2022.10.19	17:30:00	118125	118490	118115	118255	87275	271026	5
2022.10.20	09:00:00	118860	119515	118800	119485	289636	788616	5
2022.10.20	09:30:00	119485	119680	119210	119210	360384	1120375	5
2022.10.20	10:00:00	119210	119350	118845	118865	391295	1249911	5
2022.10.20	10:30:00	118860	119185	118790	118825	516826	1736275	5
2022.10.20	11:00:00	118825	119430	118760	119360	417595	1456140	5
2022.10.20	11:30:00	119360	119445	119040	119415	320242	1123824	5
2022.10.20	12:00:00	119415	119415	119155	119190	212356	707074	5
2022.10.20	12:30:00	119190	119300	118730	118750	238519	817390	5
2022.10.20	13:00:00	118755	118835	118525	118750	243222	875363	5
2022.10.20	13:30:00	118745	118925	118620	118765	212177	744332	5
2022.10.20	14:00:00	118770	118855	118465	118760	222062	787998	5
2022.10.20	14:30:00	118765	119080	118705	119070	251994	947647	5
2022.10.20	15:00:00	119070	119075	118680	118750	208586	767417	5
2022.10.20	15:30:00	118755	119275	118690	119055	244413	913634	5
2022.10.20	16:00:00	119055	119320	118885	119000	223019	852330	5
2022.10.20	16:30:00	119000	119295	118900	119185	203382	814514	5
2022.10.20	17:00:00	119180	119360	118920	118990	143653	530571	5
2022.10.20	17:30:00	118995	119030	118830	118950	47764	175047	5
2022.10.21	09:00:00	118385	118850	118360	118635	270517	732797	5
2022.10.21	09:30:00	118630	118720	118280	118620	315746	983037	5
2022.10.21	10:00:00	118620	119175	118610	118950	530662	1681938	5
2022.10.21	10:30:00	118955	119885	118835	119870	689044	2346422	5
2022.10.21	11:00:00	119870	120425	119835	120000	413661	1506517	5
2022.10.21	11:30:00	120000	120270	119875	120135	403272	1380305	5
2022.10.21	12:00:00	120135	120230	119855	120145	327609	1146528	5
2022.10.21	12:30:00	120145	120375	120035	120365	237887	788987	5
2022.10.21	13:00:00	120365	120710	120360	120575	266252	908187	5
2022.10.21	13:30:00	120575	120785	120515	120545	179297	599840	5
2022.10.21	14:00:00	120545	121110	120520	120970	238159	890422	5
2022.10.21	14:30:00	120970	121340	120880	121235	201655	709427	5
2022.10.21	15:00:00	121235	121775	121225	121550	273743	1002712	5
2022.10.21	15:30:00	121545	121715	121400	121640	174569	614604	5
2022.10.21	16:00:00	121645	122825	121590	122420	323283	1301963	5
2022.10.21	16:30:00	122420	122465	121980	122150	226026	817808	5
2022.10.21	17:00:00	122150	122585	122085	122320	146760	523436	5
2022.10.21	17:30:00	122320	122555	122225	122370	80750	308036	5
2022.10.24	09:00:00	121825	121835	120310	120320	437610	1153148	5
2022.10.24	09:30:00	120320	120595	120275	120375	293742	811051	5
2022.10.24	10:00:00	120370	120560	120080	120120	433819	1184986	5
