;gap;range_dia_anterior;atr_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_candle_c1;volume_real_norm_c1;tamanho_medio_ordem_c1;diferenca_MA_c1;mov_direcional_c2;pavio_superior_c2;pavio_inferior_c2;range_candle_c2;volume_real_norm_c2;tamanho_medio_ordem_c2;diferenca_MA_c2;label_Compra;label_Lateral;label_Venda
2021-05-20;-0.0008935824532900081;0.01480054118322332;1846.7857142857142;0.7202216066481995;0.016160748219508567;0.49999999999999994;-0.8660254037844387;-0.7907757369376986;-0.6121059825476627;0.43388373911755823;-0.900968867902419;-1.0;0.00187007073745833;0.0009756890804130417;0.003374258069761769;0.8262940369451879;3.229743696843254;0.0020653966962691926;-1.0;0.0002033760423022168;0.0021151108399430547;0.0044335977221883266;1.5046984191129078;3.9045720116292073;0.0011413198548893327;True;False;False
2021-05-21;0.0037070229753951443;0.00748028294983332;1795.7142857142858;0.9728260869565217;0.01681065878716472;0.49999999999999994;-0.8660254037844387;-0.8978045395707417;-0.44039415155763423;-0.433883739117558;-0.9009688679024191;-1.0;0.00040586062746053006;0.00012175818823815901;0.0038150898981289824;0.5946430769189224;3.2917633683919614;0.0007646297653627372;-1.0;0.0010179982083231534;0.0011808779216548578;0.0035833536932974998;1.2107227688634112;3.681532248703694;0.00011326772866490382;False;False;True
2021-05-24;0.001588529998778054;0.010836478753196153;1782.5;0.7790262172284644;0.0141460799274137;0.49999999999999994;-0.8660254037844387;-0.9884683243281114;0.15142777750457667;0.0;1.0;1.0;0.0014640097600650671;0.0020333468889792597;0.0036600244001626678;0.8360072454291073;3.299944751907488;0.002787491077317891;1.0;0.0002033016182808815;0.001341790680653818;0.008172725054891437;1.7245591254459276;3.9326803116534466;0.004658615071831575;False;False;True
2021-05-25;-0.0006041565973900435;0.014030093533956893;1778.2142857142858;0.7913043478260869;0.022141665465180944;0.49999999999999994;-0.8660254037844387;-0.9377521321470804;0.3473052528448203;0.7818314824680298;0.6234898018587336;1.0;0.0016926611050658929;8.060290976504251e-05;0.004876476040785073;1.0919072573998647;3.4873818197336313;0.0025356010892371396;-1.0;0.0038973040298927236;0.0011249949777009925;0.005785688456747961;1.7735311517831402;4.0281141687471225;0.002300853326185038;False;False;True
2021-05-26;0.0016624092770546972;0.016442993592068675;1779.2857142857142;0.3088235294117647;0.015929414619201245;0.49999999999999994;-0.8660254037844387;-0.8486442574947509;0.5289640103269624;0.9749279121818236;-0.22252093395631434;1.0;0.0022668393782383418;0.00012143782383419689;0.0028740284974093262;0.9264055898341478;3.597382680224301;-0.0021128913344482074;1.0;0.0009710702002832288;8.092251669026907e-05;0.006473801335221525;1.940082350360755;3.8685561756160833;0.0009434763750832548;True;False;False
2021-05-27;0.0;0.008136334196891191;1786.0714285714287;0.38308457711442784;0.018164485051949893;0.49999999999999994;-0.8660254037844387;-0.72479278722912;0.6889669190756865;0.43388373911755823;-0.900968867902419;1.0;0.00012107514730809589;0.00012107514730809589;0.003390104124626685;0.8605616111760335;3.5925957467192893;-0.00015645674641497046;1.0;0.002132367732850533;0.0005632669483001409;0.004304968819151076;1.735847189398161;4.260004612546125;0.00021423311240547513;False;False;True
2021-05-28;0.0019261637239165329;0.008999919283235128;1699.642857142857;1.0896860986547086;0.024147534998954032;0.49999999999999994;-0.8660254037844387;-0.5712682150947924;0.8207634412072763;-0.433883739117558;-0.9009688679024191;-1.0;0.0003204101249599487;0.000680871515539891;0.0036847164370394105;0.8800103142959332;3.4900930686025893;0.0012360056936580098;1.0;0.0004015902975784105;0.0012449299224930725;0.0040159029757841054;1.753127532571571;4.077961408925478;0.0021723646723646596;True;False;False
2021-05-31;0.0;0.01225568727971804;1737.5;0.761437908496732;0.0269637823751529;0.49999999999999994;-0.8660254037844387;-2.4492935982947064e-16;1.0;0.0;1.0;1.0;0.0010755686571326136;0.00099589690475242;0.002629167828546389;0.6352196588474381;3.447051559123186;0.0016677504832938053;1.0;0.00023888203208981965;0.0001990683600748497;0.0036230441533622645;1.3751081534189873;4.0734208520748965;0.0014375609089265348;False;True;False
2021-06-01;0.003646741715554146;0.007568816476118392;1606.4285714285713;1.2736842105263158;0.03304562822189265;1.2246467991473532e-16;-1.0;0.20791169081775931;0.9781476007338057;0.7818314824680298;0.6234898018587336;1.0;0.000315955766192733;0.002014218009478673;0.00825434439178515;1.2864269493101579;3.4696614615167;0.003245648475330416;1.0;0.004711610192783384;0.0;0.009030586202834819;2.227312324165657;4.432264763498449;0.005755589437516005;True;False;False
2021-06-02;-0.0013236782683173714;0.017496050552922592;1542.857142857143;0.8645598194130926;0.04223251958858387;1.2246467991473532e-16;-1.0;0.40673664307580015;0.9135454576426009;0.9749279121818236;-0.22252093395631434;1.0;0.000389833151411196;0.0016372992359270232;0.0026898487447372527;1.0383199150976492;3.5693843363281155;0.0010734954830946357;1.0;0.0009350163627863488;0.0007791803023219573;0.004869876889512233;2.1426975976694975;4.202118962958711;0.0010356389244890523;True;False;False
