"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2018.03.19	13:00:00	112635	112742	112315	112488	77276	312600	1"
"2018.03.19	14:00:00	112488	112715	112295	112695	67634	278684	1"
"2018.03.19	15:00:00	112689	112909	112468	112816	71700	301751	1"
"2018.03.19	16:00:00	112809	112949	112508	112735	71890	288314	1"
"2018.03.19	17:00:00	112742	113116	112588	112989	24841	102218	1"
"2018.03.20	09:00:00	113270	113437	113029	113143	59332	180265	1"
"2018.03.20	10:00:00	113143	113316	112555	112595	135672	462944	1"
"2018.03.20	11:00:00	112602	112842	112388	112775	94936	340661	1"
"2018.03.20	12:00:00	112775	113370	112742	113156	83957	328917	1"
"2018.03.20	13:00:00	113149	113323	112982	113283	61266	232144	1"
"2018.03.20	14:00:00	113283	113330	112769	112862	58965	219186	1"
"2018.03.20	15:00:00	112876	113103	112789	112869	64721	245470	1"
"2018.03.20	16:00:00	112869	113196	112769	112962	64425	244431	1"
"2018.03.20	17:00:00	112956	113236	112909	113016	30060	121054	1"
"2018.03.21	09:00:00	112816	113210	112715	113183	53122	159700	1"
"2018.03.21	10:00:00	113190	113296	112816	113116	119261	391898	1"
"2018.03.21	11:00:00	113116	113677	113076	113537	92079	331567	1"
"2018.03.21	12:00:00	113544	113737	113390	113477	61252	222903	1"
"2018.03.21	13:00:00	113477	113664	113423	113664	39276	147922	1"
"2018.03.21	14:00:00	113664	113690	113443	113510	38707	145186	1"
"2018.03.21	15:00:00	113510	114666	113230	113530	158329	617530	1"
"2018.03.21	16:00:00	113517	114258	113497	114138	79580	332039	1"
"2018.03.21	17:00:00	114138	114278	114038	114278	17094	73568	1"
"2018.03.22	09:00:00	114011	114545	113877	114038	88565	301238	1"
"2018.03.22	10:00:00	114038	114345	113570	113938	144448	513444	1"
"2018.03.22	11:00:00	113931	113998	113363	113550	117839	478260	1"
"2018.03.22	12:00:00	113550	113650	113196	113483	86482	355530	1"
"2018.03.22	13:00:00	113483	113931	113403	113817	88647	357790	1"
"2018.03.22	14:00:00	113824	114752	113664	114612	88543	362844	1"
"2018.03.22	15:00:00	114612	114813	114064	114105	77970	333723	1"
"2018.03.22	16:00:00	114111	114251	112902	113116	118839	518581	1"
"2018.03.22	17:00:00	113123	113690	112936	112982	49671	202072	1"
"2018.03.23	09:00:00	112588	112929	112482	112729	99171	260458	1"
"2018.03.23	10:00:00	112729	113577	112642	113457	178169	502057	1"
"2018.03.23	11:00:00	113450	114011	113323	113944	138622	451472	1"
"2018.03.23	12:00:00	113944	114111	113049	113063	92124	342700	1"
"2018.03.23	13:00:00	113069	113243	112722	113023	93008	328099	1"
"2018.03.23	14:00:00	113016	114605	112916	114532	115753	410184	1"
"2018.03.23	15:00:00	114525	114766	113844	113851	116410	412093	1"
"2018.03.23	16:00:00	113864	114418	112942	113190	152473	557985	1"
"2018.03.23	17:00:00	113190	113550	113023	113550	32699	105790	1"
"2018.03.26	09:00:00	114505	114706	114385	114585	53748	150606	1"
"2018.03.26	10:00:00	114592	114799	114111	114125	144961	470036	1"
