<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.10	15:10:00	108440	108625	108405	108570	64690	243819	5
2023.05.10	15:20:00	108570	108585	108435	108500	53190	204509	5
2023.05.10	15:30:00	108505	108690	108500	108625	62356	234611	5
2023.05.10	15:40:00	108625	108815	108620	108710	77115	287200	5
2023.05.10	15:50:00	108710	108720	108600	108635	47047	174865	5
2023.05.10	16:00:00	108635	108715	108590	108670	39155	138661	5
2023.05.10	16:10:00	108665	108715	108625	108695	24867	96293	5
2023.05.10	16:20:00	108690	108840	108665	108745	51941	206138	5
2023.05.10	16:30:00	108745	109000	108720	108840	84656	328427	5
2023.05.10	16:40:00	108840	108935	108835	108850	32121	139143	5
2023.05.10	16:50:00	108850	108850	108710	108755	50948	201162	5
2023.05.10	17:00:00	108750	108790	108595	108720	51780	196933	5
2023.05.10	17:10:00	108725	108830	108680	108780	31781	118546	5
2023.05.10	17:20:00	108785	108890	108740	108870	30317	110749	5
2023.05.10	17:30:00	108870	108890	108755	108775	24358	84548	5
2023.05.10	17:40:00	108775	108845	108770	108845	21229	73150	5
2023.05.10	17:50:00	108845	108885	108700	108885	9378	45898	5
2023.05.11	09:00:00	108315	108460	108130	108405	105913	299776	5
2023.05.11	09:10:00	108405	108445	108090	108115	88253	257289	5
2023.05.11	09:20:00	108120	108165	108005	108095	76888	215292	5
2023.05.11	09:30:00	108090	108215	107935	107995	115823	345433	5
2023.05.11	09:40:00	108000	108075	107900	107940	85396	274080	5
2023.05.11	09:50:00	107940	107960	107745	107815	88002	289064	5
2023.05.11	10:00:00	107825	107830	107465	107615	172365	609129	5
2023.05.11	10:10:00	107615	107995	107555	107945	157725	533048	5
2023.05.11	10:20:00	107945	108100	107860	108025	135426	446976	5
2023.05.11	10:30:00	108025	108295	107935	108155	159730	545591	5
2023.05.11	10:40:00	108155	108200	107900	107910	115792	423059	5
2023.05.11	10:50:00	107910	108325	107845	108245	167770	560972	5
2023.05.11	11:00:00	108240	108240	107960	108145	131964	487813	5
2023.05.11	11:10:00	108145	108345	108110	108295	108456	384917	5
2023.05.11	11:20:00	108295	108650	108250	108605	121499	444669	5
2023.05.11	11:30:00	108610	108625	108185	108330	129317	472433	5
2023.05.11	11:40:00	108330	108500	108235	108460	126231	446618	5
2023.05.11	11:50:00	108460	108530	108250	108290	77864	283121	5
2023.05.11	12:00:00	108295	108520	108260	108495	61714	223101	5
2023.05.11	12:10:00	108495	108580	108415	108435	80615	296454	5
2023.05.11	12:20:00	108435	108455	108250	108400	72020	266863	5
2023.05.11	12:30:00	108400	108505	108380	108430	52432	195862	5
2023.05.11	12:40:00	108430	108680	108420	108520	75196	284447	5
2023.05.11	12:50:00	108515	108565	108390	108400	52749	204456	5
2023.05.11	13:00:00	108400	108425	108180	108265	73093	268751	5
2023.05.11	13:10:00	108260	108270	108150	108225	50329	183939	5
2023.05.11	13:20:00	108230	108325	108175	108300	40769	146729	5
2023.05.11	13:30:00	108300	108375	108290	108315	35260	124373	5
2023.05.11	13:40:00	108320	108385	108280	108315	40324	142331	5
2023.05.11	13:50:00	108320	108400	108300	108380	29505	112909	5
2023.05.11	14:00:00	108380	108580	108375	108510	55283	196140	5
2023.05.11	14:10:00	108510	109100	108505	109080	102142	405187	5
2023.05.11	14:20:00	109080	109195	108885	108935	97478	377232	5
2023.05.11	14:30:00	108935	109070	108870	108970	67327	272921	5
2023.05.11	14:40:00	108970	109025	108800	108825	69099	287914	5
2023.05.11	14:50:00	108820	108995	108805	108990	64586	265864	5
2023.05.11	15:00:00	108995	109060	108855	109040	69492	277765	5
2023.05.11	15:10:00	109040	109145	108880	108890	71323	282304	5
2023.05.11	15:20:00	108890	109060	108865	108980	58977	223068	5
2023.05.11	15:30:00	108980	109880	108975	109865	161523	666361	5
2023.05.11	15:40:00	109865	109930	109500	109540	104977	432868	5
2023.05.11	15:50:00	109540	109550	109265	109280	65391	269172	5
2023.05.11	16:00:00	109275	109375	109250	109300	42549	180966	5
2023.05.11	16:10:00	109300	109425	109290	109330	38133	145078	5
2023.05.11	16:20:00	109330	109395	109220	109280	47082	201778	5
