datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick;label
2025-10-14 11:30:00;142595;142610;142675;142505;193056;59454;Compra
2025-10-14 11:35:00;142615;142410;142670;142380;213473;63221;Compra
2025-10-14 11:40:00;142410;142105;142430;142105;269703;81534;Compra
2025-10-14 11:45:00;142110;142325;142340;142100;218137;64630;Compra
2025-10-14 11:50:00;142320;142265;142340;142155;147028;43084;Compra
2025-10-14 11:55:00;142265;142130;142265;142110;106040;31513;Compra
2025-10-15 09:00:00;145145;145170;145405;145020;323667;134716;Compra
2025-10-15 09:05:00;145165;145020;145240;144840;329934;118429;Compra
2025-10-15 09:10:00;145020;144915;145095;144865;183738;64226;Compra
2025-10-15 09:15:00;144910;144715;144935;144665;242182;81130;Compra
2025-10-15 09:20:00;144715;144890;144895;144695;269724;88093;Compra
2025-10-15 09:25:00;144890;144620;144895;144590;198636;66899;Compra
2025-10-15 09:30:00;144615;144610;144690;144505;226463;74172;Compra
2025-10-15 09:35:00;144610;144420;144630;144405;180802;57855;Compra
2025-10-15 09:40:00;144420;144455;144540;144320;255755;81281;Compra
2025-10-15 09:45:00;144455;144540;144590;144355;201760;66152;Compra
2025-10-15 09:50:00;144540;144545;144600;144425;167664;54742;Compra
2025-10-15 09:55:00;144545;144425;144550;144345;196407;61336;Compra
2025-10-15 10:00:00;144420;144170;144450;144005;517542;159625;Compra
2025-10-15 10:05:00;144170;144235;144360;144055;267391;83758;Compra
2025-10-15 10:10:00;144235;144350;144480;144215;236353;74346;Compra
2025-10-15 10:15:00;144350;144485;144600;144340;308974;92780;Compra
2025-10-15 10:20:00;144485;144390;144495;144250;296702;91654;Compra
2025-10-15 10:25:00;144390;144445;144540;144330;268068;82617;Compra
2025-10-15 10:30:00;144445;144800;144860;144425;435315;135041;Compra
2025-10-15 10:35:00;144795;144735;145130;144730;428485;130811;Compra
2025-10-15 10:40:00;144735;144705;144935;144635;305985;98766;Compra
2025-10-15 10:45:00;144705;144840;144890;144700;246726;78769;Compra
2025-10-15 10:50:00;144840;145290;145365;144840;400836;124840;Compra
2025-10-15 10:55:00;145295;145580;145645;145265;357273;110152;Compra
2025-10-15 11:00:00;145585;145900;145950;145580;376417;115626;Compra
2025-10-15 11:05:00;145900;145965;146100;145700;344214;102965;Compra
2025-10-15 11:10:00;145970;145950;146050;145855;235765;68840;Compra
2025-10-15 11:15:00;145950;145685;145980;145675;241027;78159;Compra
2025-10-15 11:20:00;145685;145695;145770;145550;256822;77422;Compra
2025-10-15 11:25:00;145695;145645;145810;145590;181828;53960;Compra
2025-10-15 11:30:00;145645;145665;145785;145560;164082;49413;Compra
2025-10-15 11:35:00;145665;145565;145700;145550;114338;34866;Compra
2025-10-15 11:40:00;145565;145495;145575;145465;130181;41060;Compra
2025-10-15 11:45:00;145495;145765;145800;145485;188358;57195;Compra
2025-10-15 11:50:00;145760;145865;145980;145690;224032;67157;Compra
2025-10-15 11:55:00;145870;145965;146010;145805;193767;57322;Compra
2025-10-16 09:00:00;145735;145795;145930;145565;321024;123924;Compra
2025-10-16 09:05:00;145800;145500;145930;145450;282877;96676;Compra
2025-10-16 09:10:00;145495;145580;145600;145420;190734;64906;Compra
2025-10-16 09:15:00;145580;145670;145675;145530;172951;53640;Compra
2025-10-16 09:20:00;145670;145370;145695;145320;293561;96676;Compra
2025-10-16 09:25:00;145370;145245;145385;145135;216048;70026;Compra
2025-10-16 09:30:00;145240;144935;145255;144905;307437;92290;Compra
2025-10-16 09:35:00;144935;145130;145195;144880;256413;79796;Compra
2025-10-16 09:40:00;145130;144905;145170;144905;198334;63034;Compra
2025-10-16 09:45:00;144905;144715;144910;144685;265938;79446;Compra
2025-10-16 09:50:00;144720;144885;144920;144715;183111;56055;Compra
2025-10-16 09:55:00;144885;144795;144990;144740;190239;59962;Compra
2025-10-16 10:00:00;144795;144735;144980;144660;354601;108312;Compra
2025-10-16 10:05:00;144730;144770;144800;144630;240859;73088;Compra
2025-10-16 10:10:00;144775;144770;144795;144665;139428;41866;Compra
2025-10-16 10:15:00;144765;144480;144770;144475;413171;121981;Compra
2025-10-16 10:20:00;144480;144395;144580;144375;330798;97046;Compra
2025-10-16 10:25:00;144395;144505;144530;144360;221120;64410;Compra
2025-10-16 10:30:00;144500;144425;144625;144330;418583;123347;Compra
2025-10-16 10:35:00;144425;144485;144540;144375;228595;64756;Compra
2025-10-16 10:40:00;144490;144675;144955;144425;441651;132053;Compra
2025-10-16 10:45:00;144675;144855;144920;144660;274289;78429;Compra
2025-10-16 10:50:00;144855;145010;145155;144835;311349;92244;Compra
2025-10-16 10:55:00;145010;145160;145200;145000;224380;64810;Compra
2025-10-16 11:00:00;145155;145030;145190;144905;279251;80736;Compra
2025-10-16 11:05:00;145030;145130;145265;145015;274992;79135;Compra
2025-10-16 11:10:00;145135;145170;145315;145130;177959;52468;Compra
2025-10-16 11:15:00;145175;145060;145290;144970;252684;76747;Compra
2025-10-16 11:20:00;145060;144990;145200;144980;214685;60762;Compra
2025-10-16 11:25:00;144990;145155;145165;144940;190845;54375;Compra
2025-10-16 11:30:00;145160;145435;145435;145120;297067;85136;Compra
2025-10-16 11:35:00;145435;145570;145635;145400;261672;72297;Compra
2025-10-16 11:40:00;145570;145490;145635;145465;215078;59786;Compra
2025-10-16 11:45:00;145490;145615;145620;145390;196804;56322;Compra
2025-10-16 11:50:00;145610;145805;145810;145560;218873;61175;Compra
2025-10-16 11:55:00;145800;145765;145900;145740;205668;57509;Compra
2025-10-17 09:00:00;144885;144845;145070;144750;360905;152480;Compra
2025-10-17 09:05:00;144840;145390;145455;144820;378866;125886;Compra
2025-10-17 09:10:00;145395;145145;145440;145090;272675;86875;Compra
2025-10-17 09:15:00;145140;145180;145235;145070;190378;63270;Compra
2025-10-17 09:20:00;145175;145240;145450;145080;331653;108859;Compra
2025-10-17 09:25:00;145240;145075;145265;144915;268235;94244;Compra
2025-10-17 09:30:00;145075;144970;145130;144930;186788;59239;Compra
